,Org_y,geo_score,needs_score,stage_score,challenge_score,tech_score,total_score
69,Twilio.org,2,4,2,10,1,19
44,Merian Ventures,1,4,2,10,1,18
66,The Kamath Family Foundation,1,4,2,10,1,18
36,Kevin Przybocki,1,4,1,10,1,17
53,Pfizer Inc.,1,4,1,10,0,16
58,Someone Else's Child Foundation,1,4,1,10,0,16
16,Comcast NBCUniversal,1,4,1,10,0,16
13,Clint Taylor,1,3,1,10,0,15
21,Deshpande Foundation,1,3,1,10,0,15
72,Ultranauts Inc,1,3,1,10,0,15
60,Sresta Natural Bioproducts Pvt Ltd,1,3,1,10,0,15
8,Blue Haven Initiative,1,3,1,10,0,15
30,Grupo Salinas,1,3,1,10,0,15
6,BMW Foundation Herbert Quandt,1,3,1,0,0,5
43,Merck for Mothers,1,3,1,0,0,5
75,Xprize,1,3,1,0,0,5
2,American Student Assistance (ASA),1,3,1,0,0,5
9,Cambridge Associates,1,3,1,0,0,5
32,Ingredion,1,3,1,0,0,5
14,Clorox,1,2,1,0,0,4
74,Women’s WorldWide Web (W4),1,2,1,0,0,4
55,RISE,1,2,1,0,0,4
49,Nuvo,1,2,1,0,0,4
59,Soronko Solutions,1,2,1,0,0,4
73,Usizo Advisory Solutions,1,2,1,0,0,4
18,Conduent,1,2,1,0,0,4
65,The Hague Business Agency,1,2,1,0,0,4
40,Llamasoft,1,2,1,0,0,4
50,Olam International,1,2,1,0,0,4
26,Firefly Innovations,1,2,1,0,0,4
24,EcoAdvisors,1,2,1,0,0,4
4,Antropia ESSEC,1,2,1,0,0,4
11,Care 2 Communities,0,2,1,0,0,3
7,Best Buy,0,2,1,0,0,3
5,AutoCognita,0,2,1,0,0,3
29,"Global Fund to fight Aids, Tuberculosis and Malaria",0,1,1,0,0,2
68,The Pershing Square Foundation,0,1,1,0,0,2
25,Enel Foundation and Strategic Studies Center,0,1,1,0,0,2
15,Closed Loop Partners,0,1,1,0,0,2
35,KSF Impact,0,1,1,0,0,2
12,Cast Collective,0,1,1,0,0,2
76,YUM Brands,0,1,1,0,0,2
3,Americares,0,1,1,0,0,2
45,Mondi Group,0,1,1,0,0,2
56,Save the Children,0,1,1,0,0,2
57,Seed Global Health,0,1,1,0,0,2
0,Access Afya,0,1,1,0,0,2
61,Stand Together,0,1,1,0,0,2
62,Strada Education Network,0,1,1,0,0,2
64,Tecnológico de Monterrey,0,1,1,0,0,2
